case_id	case_label	source_id	source_tier	record_type	domain	supports_tax_model	primary_tax	secondary_tax	net_signal	autonomy_inference	key_signal	control_observation	impact_estimate	confidence	article_section	source_url
ATC-011	Prompt injection CVE in production copilot	SRC-012	T1_gov_vulnerability_db	cve_record	enterprise_copilot	yes	incident_tax	governance_tax	tax	level_3	CVE-2025-32711; NVD CVSS 3.1 score 7.5 HIGH; CNA score 9.3 CRITICAL	AI command injection enabled network-based information disclosure	high	high	incident_tax	https://nvd.nist.gov/vuln/detail/CVE-2025-32711
ATC-012	Zero-click exploit chain across trust boundaries	SRC-076	T3_preprint	incident_case_study	enterprise_copilot	yes	incident_tax	governance_tax	tax	level_3	EchoLeak achieved zero-click data exfiltration through chained bypasses and no user interaction	defense in depth failed across filtering, rendering, and proxy trust boundaries	high	medium	incident_tax	https://arxiv.org/abs/2509.10540
ATC-013	Compound failures in autonomous lab agents	SRC-075	T3_preprint	red_team_study	multi_agent_lab	yes	incident_tax	governance_tax	tax	level_3_to_4	two-week live lab with persistent memory plus tools produced 11 failure categories and contradictory completion reports	autonomy plus tool access creates compositional failure modes	high	medium	incident_tax	https://arxiv.org/abs/2602.20021
ATC-014	Enterprise visibility gap for agent actions	SRC-010	T4_vendor_survey	security_survey	multi_industry	yes	governance_tax	incident_tax	tax	mixed	only 21% of respondents report full visibility into AI agent actions	low visibility increases detection latency and governance overhead	high	low_to_medium	governance_tax	https://www.prnewswire.com/news-releases/aktos-2025-state-of-agentic-ai-security-report-finds-only-21-of-enterprises-have-visibility-302635105.html
ATC-015	AI Act phased obligations through 2027	SRC-021	T1_regulatory_text	regulatory_timeline	eu_regulatory	yes	governance_tax	none	tax	mixed	AI Act entered force 1 Aug 2024; most rules apply 2 Aug 2026; high-risk regulated-product rules extend to 2 Aug 2027	compliance workload is time-phased but unavoidable for affected systems	high	high	governance_tax	https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
ATC-016	GPAI Code of Practice as compliance mechanism	SRC-064	T1_regulatory_guidance	regulatory_guidance	eu_regulatory	yes	governance_tax	none	mixed	mixed	Code details GPAI provider obligations; drafting involved nearly 1000 stakeholders	structured guidance can reduce ambiguity but adds implementation workload	medium	high	governance_tax	https://digital-strategy.ec.europa.eu/en/policies/ai-code-practice
ATC-017	AI Pact participation signals readiness pressure	SRC-065	T1_regulatory_update	regulatory_update	eu_regulatory	yes	governance_tax	none	tax	mixed	AI Pact reports 3265 companies and organizations and more than 230 voluntary pledgers	peer and regulatory pressure increases governance investment expectations	medium	medium_high	governance_tax	https://digital-strategy.ec.europa.eu/en/news/ai-pact-marks-one-year-progress-trustworthy-ai-europe
ATC-018	NIST RMF Playbook offers control scaffolding	SRC-066	T5_framework	guidance_framework	us_regulatory	no	control_enabler	governance_tax	mixed	mixed	Playbook maps Govern, Map, Measure, Manage and is updated through public feedback	process guidance reduces implementation ambiguity but does not remove cost burden	medium	high	governance_tax	https://www.nist.gov/itl/ai-risk-management-framework/nist-ai-rmf-playbook
ATC-019	OpenTelemetry GenAI conventions for runtime telemetry	SRC-038	T5_standard	observability_standard	multi_stack	no	control_enabler	governance_tax	mixed	level_2_to_3	GenAI semantic conventions define agent spans, model spans, metrics, and events	standardized telemetry improves auditability and anomaly detection coverage	medium	high	governance_tax	https://opentelemetry.io/docs/specs/semconv/gen-ai/
ATC-020	AgentOps lifecycle formalizes operations work	SRC-078	T3_preprint	survey_framework	agent_operations	no	control_enabler	governance_tax	mixed	level_2_to_3	AgentOps model defines monitoring, anomaly detection, root-cause analysis, and resolution	operations overhead is a first-order requirement, not optional polish	medium	medium	governance_tax	https://arxiv.org/abs/2508.02121
ATC-021	Log-based observability benchmark challenge	SRC-079	T3_preprint	user_study	agent_observability	no	control_enabler	governance_tax	mixed	level_2_to_3	user study reports 79% agreement that nondeterministic flows are a major challenge	black-box evaluation is insufficient; runtime analytics must be first class	medium	medium	governance_tax	https://arxiv.org/abs/2503.06745
ATC-022	Tracing platform seat cost floor	SRC-018	T4_pricing	pricing_snapshot	tooling	yes	governance_tax	none	tax	any	LangSmith Plus listed at $39 per seat per month (pricing snapshot)	observability spend scales with team size and trace volume	low_to_medium	high	governance_tax	https://www.langchain.com/pricing-langsmith
ATC-023	Evaluation platform monthly cost floor	SRC-019	T4_pricing	pricing_snapshot	tooling	yes	governance_tax	none	tax	any	Braintrust paid tier listed at $249 per month (pricing snapshot)	evaluation infrastructure imposes fixed monthly overhead before variable usage	low_to_medium	high	governance_tax	https://www.braintrust.dev/pricing
ATC-024	Orchestration platform entry cost baseline	SRC-016	T4_pricing	pricing_snapshot	orchestration	yes	governance_tax	none	tax	level_2_to_3	Temporal Essentials shown as starting at $100 per month (pricing snapshot)	orchestration reliability adds recurring fixed platform costs	low_to_medium	high	governance_tax	https://temporal.io/pricing
ATC-025	Alternative orchestration baseline	SRC-017	T4_pricing	pricing_snapshot	orchestration	yes	governance_tax	none	tax	level_2_to_3	Restate Starter shown at $75 per month and Business at $300 per month (pricing snapshot)	platform choice changes fixed cost floor but not need for control stack	low_to_medium	high	governance_tax	https://www.restate.dev/cloud/#pricing
ATC-026	High-volume counterexample for Level 3 economics	SRC-013	T4_company_press	company_case	customer_service	yes	throughput_gain	incident_tax	gain	level_3	Klarna reports 2.3M conversations in first month, about two-thirds of chats, equivalent work of 700 agents, and estimated $40M profit improvement	throughput gain can dominate when per-error cost is low and reversibility is high	medium	low_to_medium	anti_thesis	https://www.klarna.com/international/press/klarna-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month/
ATC-027	Workflow-first guidance from Anthropic	SRC-072	T4_vendor_guide	engineering_guidance	agent_architecture	no	control_enabler	human_bandwidth_tax	mixed	level_2_to_3	guide distinguishes workflows from agents and states many use cases are solved by optimized single calls plus retrieval	designing for simpler bounded workflows reduces unnecessary autonomy tax	medium	medium	decision_rule	https://www.anthropic.com/engineering/building-effective-agents
ATC-028	Human-in-the-loop support pattern from OpenAI	SRC-071	T4_vendor_guide	developer_guidance	agent_architecture	no	control_enabler	human_bandwidth_tax	mixed	level_2_to_3	open examples include support agent pattern where humans accept or reject suggestions	human gate pattern provides practical Level 2.5 control baseline	medium	medium	decision_rule	https://developers.openai.com/tracks/building-agents/
